,name,class,confidence,target_id,actual_id
0,./test\00000.png,"Verbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse von 3,5t",0.99999201,16,
1,./test\00001.png,Zulässige Höchstgeschwindigkeit (30),0.96864623,1,
2,./test\00002.png,Rechts vorbei,0.99999976,38,
3,./test\00003.png,Ausschließlich rechts,0.9999515999999999,33,
4,./test\00004.png,Einmalige Vorfahrt,0.975088,11,
5,./test\00005.png,Rechts vorbei,0.99999881,38,
6,./test\00006.png,Gefahrenstelle,0.99792778,18,
7,./test\00007.png,Vorfahrt,0.99216568,12,
8,./test\00008.png,Baustelle,0.99999797,25,
9,./test\00009.png,Ausschließlich geradeaus,0.99980873,35,
10,./test\00010.png,Vorfahrt,0.63231319,12,
11,./test\00011.png,Zulässige Höchstgeschwindigkeit (100),0.90061343,7,
12,./test\00012.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.1522067,23,
13,./test\00013.png,Zulässige Höchstgeschwindigkeit (100),0.30629632,7,
14,./test\00014.png,Zulässige Höchstgeschwindigkeit (70),0.97733247,4,
15,./test\00015.png,Überholverbot für Kraftfahrzeuge aller Art,0.97496742,9,
16,./test\00016.png,Wildwechsel,0.58452564,21,
17,./test\00017.png,Zulässige Höchstgeschwindigkeit (60),0.09987536,20,
18,./test\00018.png,Fußgänger,0.77349156,27,
19,./test\00019.png,Rechts vorbei,0.99999702,38,
20,./test\00020.png,Zulässige Höchstgeschwindigkeit (70),0.72077048,4,
21,./test\00021.png,Ausschließlich rechts,0.99999821,33,
22,./test\00022.png,Überholverbot für Kraftfahrzeuge aller Art,0.77329242,9,
23,./test\00023.png,Ausschließlich rechts,0.41464782,3,
24,./test\00024.png,Zulässige Höchstgeschwindigkeit (30),0.92536086,1,
25,./test\00025.png,Einmalige Vorfahrt,0.99417084,11,
26,./test\00026.png,Verbot für Fahrzeuge aller Art,0.6006216999999999,13,
27,./test\00027.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.9552412,10,
28,./test\00028.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.88110012,9,
29,./test\00029.png,Einmalige Vorfahrt,0.99748492,11,
30,./test\00030.png,Zulässige Höchstgeschwindigkeit (80),0.93804049,5,
31,./test\00031.png,Verbot der Einfahrt,0.99999702,17,
32,./test\00032.png,"Ende des Überholverbotes für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.02272727,34,
33,./test\00033.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.18049029,23,
