,Unnamed: 0,name,class,confidence,target_id,actual_id
0,0,./test\00000.png,"Verbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse von 3,5t",0.99999201,16,16.0
1,1,./test\00001.png,Zulässige Höchstgeschwindigkeit (30),0.96864623,1,1.0
2,2,./test\00002.png,Rechts vorbei,0.99999976,38,38.0
3,3,./test\00003.png,Ausschließlich rechts,0.9999516,33,33.0
4,4,./test\00004.png,Einmalige Vorfahrt,0.975088,11,11.0
5,5,./test\00005.png,Rechts vorbei,0.99999881,38,38.0
6,6,./test\00006.png,Gefahrenstelle,0.99792778,18,18.0
7,7,./test\00007.png,Vorfahrt,0.99216568,12,12.0
8,8,./test\00008.png,Baustelle,0.99999797,25,25.0
9,9,./test\00009.png,Ausschließlich geradeaus,0.99980873,35,35.0
10,10,./test\00010.png,Vorfahrt,0.63231319,12,12.0
11,11,./test\00011.png,Zulässige Höchstgeschwindigkeit (100),0.90061343,7,7.0
12,12,./test\00012.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.1522067,23,10.0
13,13,./test\00013.png,Zulässige Höchstgeschwindigkeit (100),0.30629632,7,7.0
14,14,./test\00014.png,Zulässige Höchstgeschwindigkeit (70),0.97733247,4,4.0
15,15,./test\00015.png,Überholverbot für Kraftfahrzeuge aller Art,0.97496742,9,9.0
16,16,./test\00016.png,Wildwechsel,0.58452564,21,31.0
17,17,./test\00017.png,Zulässige Höchstgeschwindigkeit (60),0.09987536,20,3.0
18,18,./test\00018.png,Fußgänger,0.77349156,27,27.0
19,19,./test\00019.png,Rechts vorbei,0.99999702,38,38.0
20,20,./test\00020.png,Zulässige Höchstgeschwindigkeit (70),0.72077048,4,4.0
21,21,./test\00021.png,Ausschließlich rechts,0.99999821,33,33.0
22,22,./test\00022.png,Überholverbot für Kraftfahrzeuge aller Art,0.77329242,9,9.0
23,23,./test\00023.png,Ausschließlich rechts,0.41464782,3,33.0
24,24,./test\00024.png,Zulässige Höchstgeschwindigkeit (30),0.92536086,1,1.0
25,25,./test\00025.png,Einmalige Vorfahrt,0.99417084,11,11.0
26,26,./test\00026.png,Verbot für Fahrzeuge aller Art,0.6006216999999999,13,15.0
27,27,./test\00027.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.9552412,10,10.0
28,28,./test\00028.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.88110012,9,10.0
29,29,./test\00029.png,Einmalige Vorfahrt,0.99748492,11,11.0
30,30,./test\00030.png,Zulässige Höchstgeschwindigkeit (80),0.93804049,5,5.0
31,31,./test\00031.png,Verbot der Einfahrt,0.99999702,17,17.0
32,32,./test\00032.png,"Ende des Überholverbotes für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.02272727,34,42.0
33,33,./test\00033.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.18049029,23,10.0
34,34,./test\00034.png,Zulässige Höchstgeschwindigkeit (50),0.99997401,2,2.0
35,35,./test\00035.png,Verbot der Einfahrt,0.99999952,17,17.0
36,36,./test\00036.png,Zulässige Höchstgeschwindigkeit (60),0.88725621,3,3.0
37,37,./test\00037.png,Vorfahrt,0.9742921,12,12.0
38,38,./test\00038.png,"Verbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse von 3,5t",0.99985206,16,16.0
39,39,./test\00039.png,Zulässige Höchstgeschwindigkeit (120),0.17269813,8,8.0
40,40,./test\00040.png,Zulässige Höchstgeschwindigkeit (100),0.40529132,7,7.0
41,41,./test\00041.png,Einmalige Vorfahrt,0.23976952,30,11.0
42,42,./test\00042.png,Gefahrenstelle,0.96779412,18,18.0
43,43,./test\00043.png,Vorfahrt,0.66535366,12,12.0
44,44,./test\00044.png,Doppelkurve (zunächst links),0.04033833,24,21.0
45,45,./test\00045.png,Baustelle,0.56662351,25,25.0
46,46,./test\00046.png,Zulässige Höchstgeschwindigkeit (60),0.73456597,3,3.0
47,47,./test\00047.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.98762232,10,10.0
48,48,./test\00048.png,Vorfahrt,0.11728182,18,12.0
49,49,./test\00049.png,Baustelle,0.33754504,8,25.0
50,50,./test\00050.png,Zulässige Höchstgeschwindigkeit (70),0.38300177,25,4.0
51,51,./test\00051.png,Vorfahrt gewähren,0.9999882,13,13.0
52,52,./test\00052.png,Verbot für Fahrzeuge aller Art,0.99543166,15,15.0
53,53,./test\00053.png,Überholverbot für Kraftfahrzeuge aller Art,0.99095273,9,9.0
54,54,./test\00054.png,Vorfahrt gewähren,0.99309254,13,13.0
55,55,./test\00055.png,Ausschließlich geradeaus,0.99817657,35,35.0
56,56,./test\00056.png,Zulässige Höchstgeschwindigkeit (80),0.64765674,5,5.0
57,57,./test\00057.png,Gefahrenstelle,0.17702895,26,18.0
58,58,./test\00058.png,Überholverbot für Kraftfahrzeuge aller Art,0.8808555,9,9.0
59,59,./test\00059.png,"Verbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse von 3,5t",0.97496313,16,16.0
60,60,./test\00060.png,Rechts vorbei,0.94643742,38,38.0
61,61,./test\00061.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.79960483,10,10.0
62,62,./test\00062.png,Zulässige Höchstgeschwindigkeit (70),0.9485355,4,4.0
63,63,./test\00063.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.22435217,9,10.0
64,64,./test\00064.png,Verbot für Fahrzeuge aller Art,0.87795782,15,15.0
65,65,./test\00065.png,Überholverbot für Kraftfahrzeuge aller Art,0.9997682,9,9.0
66,66,./test\00066.png,Gefahrenstelle,0.12223086,26,18.0
67,67,./test\00067.png,Zulässige Höchstgeschwindigkeit (50),0.64020604,2,2.0
68,68,./test\00068.png,Zulässige Höchstgeschwindigkeit (70),0.50943154,5,4.0
69,69,./test\00069.png,Vorfahrt gewähren,0.4775281,28,13.0
70,70,./test\00070.png,Einmalige Vorfahrt,0.99558264,11,11.0
71,71,./test\00071.png,Baustelle,0.84687322,25,25.0
72,72,./test\00072.png,Gefahrenstelle,0.12469828,30,18.0
73,73,./test\00073.png,Ausschließlich rechts,0.11006419,34,33.0
74,74,./test\00074.png,Zulässige Höchstgeschwindigkeit (50),0.47752264,5,2.0
75,75,./test\00075.png,Vorfahrt,0.96747613,12,12.0
76,76,./test\00076.png,Zulässige Höchstgeschwindigkeit (30),0.87659609,1,1.0
77,77,./test\00077.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.97828501,10,10.0
78,78,./test\00078.png,Zulässige Höchstgeschwindigkeit (50),0.50597996,25,2.0
79,79,./test\00079.png,Zulässige Höchstgeschwindigkeit (50),0.49391088,25,2.0
80,80,./test\00080.png,Doppelkurve (zunächst links),0.90016049,21,21.0
81,81,./test\00081.png,Ausschließlich rechts,0.98723829,33,33.0
82,82,./test\00082.png,Baustelle,0.89701414,25,25.0
83,83,./test\00083.png,Zulässige Höchstgeschwindigkeit (80),0.17154033,7,5.0
84,84,./test\00084.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.99832386,10,10.0
85,85,./test\00085.png,Ausschließlich geradeaus,0.68037188,35,35.0
86,86,./test\00086.png,Zulässige Höchstgeschwindigkeit (60),0.66627169,3,3.0
87,87,./test\00087.png,Zulässige Höchstgeschwindigkeit (120),0.27365893,7,8.0
88,88,./test\00088.png,Unebene Fahrbahn,0.73342144,22,22.0
89,89,./test\00089.png,Vorfahrt gewähren,0.94418085,13,13.0
90,90,./test\00090.png,Zulässige Höchstgeschwindigkeit (80),0.26774231,3,5.0
91,91,./test\00091.png,Zulässige Höchstgeschwindigkeit (30),0.94605851,1,1.0
92,92,./test\00092.png,Zulässige Höchstgeschwindigkeit (50),0.9686327,2,2.0
93,93,./test\00093.png,Stoppschild,0.97568965,14,14.0
94,94,./test\00094.png,Vorfahrt,0.99906796,12,12.0
95,95,./test\00095.png,Ende aller Streckenverbote,0.63474524,32,32.0
96,96,./test\00096.png,Zulässige Höchstgeschwindigkeit (60),0.72245008,3,3.0
97,97,./test\00097.png,Rechts vorbei,0.92865312,38,38.0
98,98,./test\00098.png,Überholverbot für Kraftfahrzeuge aller Art,0.93268615,9,9.0
99,99,./test\00099.png,Ausschließlich rechts,0.99882025,33,33.0
100,100,./test\00100.png,Zulässige Höchstgeschwindigkeit (30),0.98175722,1,1.0
101,101,./test\00101.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.99775428,10,10.0
102,102,./test\00102.png,Zulässige Höchstgeschwindigkeit (80),0.31607819,5,5.0
103,103,./test\00103.png,Einmalige Vorfahrt,0.91535968,11,11.0
104,104,./test\00104.png,Ausschließlich rechts,0.99995232,33,33.0
105,105,./test\00105.png,Zulässige Höchstgeschwindigkeit (70),0.98392707,4,4.0
106,106,./test\00106.png,Ausschließlich geradeaus,0.66488075,35,35.0
107,107,./test\00107.png,Baustelle,0.98017395,25,25.0
108,108,./test\00108.png,Ausschließlich rechts,0.99997437,33,33.0
109,109,./test\00109.png,Zulässige Höchstgeschwindigkeit (70),0.42973676,4,4.0
110,110,./test\00110.png,Zulässige Höchstgeschwindigkeit (30),0.92264354,1,1.0
111,111,./test\00111.png,Stoppschild,0.99995387,14,14.0
112,112,./test\00112.png,"Verbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse von 3,5t",0.86251289,16,16.0
113,113,./test\00113.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.99350893,10,10.0
114,114,./test\00114.png,Wildwechsel,0.10339272,30,31.0
115,115,./test\00115.png,Zulässige Höchstgeschwindigkeit (60),0.94862497,3,3.0
116,116,./test\00116.png,Fußgänger,0.22523086,27,27.0
117,117,./test\00117.png,Fahrradfahrer,0.27376145,29,29.0
118,118,./test\00118.png,Zulässige Höchstgeschwindigkeit (30),0.93005645,1,1.0
119,119,./test\00119.png,Verbot der Einfahrt,0.9584676,17,17.0
120,120,./test\00120.png,Vorfahrt gewähren,0.9999969,13,13.0
121,121,./test\00121.png,Zulässige Höchstgeschwindigkeit (100),0.6855334,7,7.0
122,122,./test\00122.png,Zulässige Höchstgeschwindigkeit (70),0.68943745,1,4.0
123,123,./test\00123.png,Zulässige Höchstgeschwindigkeit (120),0.85288531,8,8.0
124,124,./test\00124.png,Zulässige Höchstgeschwindigkeit (50),0.99717158,2,2.0
125,125,./test\00125.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.96859902,10,10.0
126,126,./test\00126.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.98613924,10,10.0
127,127,./test\00127.png,Wildwechsel,0.20903546,30,31.0
128,128,./test\00128.png,Zulässige Höchstgeschwindigkeit (30),0.96373945,1,1.0
129,129,./test\00129.png,Zulässige Höchstgeschwindigkeit (80),0.29944041,6,5.0
