,class,confidence,color
0,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.15224764,"(0, 0, 0)"
1,Rechts vorbei,0.16122183,"(0, 0, 25)"
2,Rechts vorbei,0.17687334,"(0, 0, 50)"
3,Rechts vorbei,0.06027685,"(0, 0, 75)"
4,Rechts vorbei,0.01267506,"(0, 0, 100)"
5,Rechts vorbei,0.00307625,"(0, 0, 125)"
6,Rechts vorbei,0.001224,"(0, 0, 150)"
7,Rechts vorbei,0.00048573,"(0, 0, 175)"
8,Rechts vorbei,0.00019262,"(0, 0, 200)"
9,Rechts vorbei,7.636e-05,"(0, 0, 225)"
10,Rechts vorbei,0.0900749,"(0, 25, 0)"
11,Rechts vorbei,0.22668619,"(0, 25, 25)"
12,Rechts vorbei,0.25221384,"(0, 25, 50)"
13,Rechts vorbei,0.09938131,"(0, 25, 75)"
14,Rechts vorbei,0.02244396,"(0, 25, 100)"
15,Rechts vorbei,0.00796378,"(0, 25, 125)"
16,Rechts vorbei,0.00274749,"(0, 25, 150)"
17,Rechts vorbei,0.00094153,"(0, 25, 175)"
18,Rechts vorbei,0.00033616,"(0, 25, 200)"
19,Rechts vorbei,0.00013203,"(0, 25, 225)"
20,Rechts vorbei,0.12419409,"(0, 50, 0)"
21,Rechts vorbei,0.2011666,"(0, 50, 25)"
22,Rechts vorbei,0.12303814,"(0, 50, 50)"
23,Rechts vorbei,0.02891897,"(0, 50, 75)"
24,Rechts vorbei,0.01027059,"(0, 50, 100)"
25,Rechts vorbei,0.00397842,"(0, 50, 125)"
26,Rechts vorbei,0.00156832,"(0, 50, 150)"
27,Rechts vorbei,0.00061662,"(0, 50, 175)"
28,Rechts vorbei,0.00024223,"(0, 50, 200)"
29,Rechts vorbei,9.513e-05,"(0, 50, 225)"
30,Rechts vorbei,0.13417594,"(0, 75, 0)"
31,Rechts vorbei,0.12546518,"(0, 75, 25)"
32,Rechts vorbei,0.04673315,"(0, 75, 50)"
33,Rechts vorbei,0.01790508,"(0, 75, 75)"
34,Rechts vorbei,0.00725159,"(0, 75, 100)"
35,Rechts vorbei,0.00287184,"(0, 75, 125)"
36,Rechts vorbei,0.00113065,"(0, 75, 150)"
37,Rechts vorbei,0.00044436,"(0, 75, 175)"
38,Rechts vorbei,0.00017454,"(0, 75, 200)"
39,Rechts vorbei,6.854e-05,"(0, 75, 225)"
40,Rechts vorbei,0.11021549,"(0, 100, 0)"
41,Rechts vorbei,0.07242537,"(0, 100, 25)"
42,Rechts vorbei,0.03090892,"(0, 100, 50)"
43,Rechts vorbei,0.01310227,"(0, 100, 75)"
44,Rechts vorbei,0.00524656,"(0, 100, 100)"
45,Rechts vorbei,0.00207175,"(0, 100, 125)"
46,Rechts vorbei,0.00081496,"(0, 100, 150)"
47,Rechts vorbei,0.0003202,"(0, 100, 175)"
48,Rechts vorbei,0.00012576,"(0, 100, 200)"
49,Rechts vorbei,4.938e-05,"(0, 100, 225)"
50,Rechts vorbei,0.07376562,"(0, 125, 0)"
51,Rechts vorbei,0.04868143,"(0, 125, 25)"
52,Rechts vorbei,0.02315062,"(0, 125, 50)"
53,Rechts vorbei,0.00953254,"(0, 125, 75)"
54,Rechts vorbei,0.00379043,"(0, 125, 100)"
