,class,confidence,colorOne,colorTwo
0,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.15224764,"(0, 0, 0)","(0, 0, 0)"
1,Zulässige Höchstgeschwindigkeit (120),0.16007017,"(0, 0, 25)","(0, 0, 0)"
2,Zulässige Höchstgeschwindigkeit (120),0.1738375,"(0, 0, 50)","(0, 0, 0)"
3,Wildwechsel,0.1639324,"(0, 0, 75)","(0, 0, 0)"
4,Wildwechsel,0.18787597,"(0, 0, 100)","(0, 0, 0)"
5,Zulässige Höchstgeschwindigkeit (120),0.14148247,"(0, 25, 0)","(0, 0, 0)"
6,Zulässige Höchstgeschwindigkeit (120),0.18985014,"(0, 25, 25)","(0, 0, 0)"
7,Wildwechsel,0.19622324,"(0, 25, 50)","(0, 0, 0)"
8,Wildwechsel,0.23326138,"(0, 25, 75)","(0, 0, 0)"
9,Wildwechsel,0.26319498,"(0, 25, 100)","(0, 0, 0)"
10,Zulässige Höchstgeschwindigkeit (120),0.16957384,"(0, 50, 0)","(0, 0, 0)"
11,Zulässige Höchstgeschwindigkeit (120),0.19073409,"(0, 50, 25)","(0, 0, 0)"
12,Wildwechsel,0.23966283,"(0, 50, 50)","(0, 0, 0)"
13,Wildwechsel,0.27136666,"(0, 50, 75)","(0, 0, 0)"
14,Wildwechsel,0.31825039,"(0, 50, 100)","(0, 0, 0)"
15,Zulässige Höchstgeschwindigkeit (120),0.17714566,"(0, 75, 0)","(0, 0, 0)"
16,Wildwechsel,0.23110557,"(0, 75, 25)","(0, 0, 0)"
17,Wildwechsel,0.26967028,"(0, 75, 50)","(0, 0, 0)"
18,Wildwechsel,0.3116743,"(0, 75, 75)","(0, 0, 0)"
19,Wildwechsel,0.3587701,"(0, 75, 100)","(0, 0, 0)"
20,Wildwechsel,0.205707,"(0, 100, 0)","(0, 0, 0)"
21,Wildwechsel,0.25327104,"(0, 100, 25)","(0, 0, 0)"
22,Wildwechsel,0.30196863,"(0, 100, 50)","(0, 0, 0)"
23,Wildwechsel,0.35338756,"(0, 100, 75)","(0, 0, 0)"
24,Wildwechsel,0.40184006,"(0, 100, 100)","(0, 0, 0)"
25,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.29254195,"(25, 0, 0)","(0, 0, 0)"
26,Zulässige Höchstgeschwindigkeit (70),0.15117142,"(25, 0, 25)","(0, 0, 0)"
