,classname,confidence,edges,mutation
0,Verbot für Fahrzeuge aller Art,0.93668675,3,0.0
1,Verbot für Fahrzeuge aller Art,0.77643484,3,0.05
2,Vorfahrt gewähren,0.71516323,3,0.1
3,Vorfahrt gewähren,0.82799137,3,0.15
4,Zulässige Höchstgeschwindigkeit (70),0.47474793,3,0.2
5,Vorfahrt gewähren,0.99013841,3,0.25
6,Verbot für Fahrzeuge aller Art,0.77856302,3,0.3
7,Vorfahrt gewähren,0.64551634,3,0.35
8,Zulässige Höchstgeschwindigkeit (70),0.99752122,3,0.4
9,Vorfahrt gewähren,0.99999535,3,0.45
10,Verbot für Fahrzeuge aller Art,0.99995375,3,0.5
11,Vorfahrt gewähren,0.97419804,3,0.55
12,Vorfahrt gewähren,0.66526508,3,0.6
13,Zulässige Höchstgeschwindigkeit (70),0.73152852,3,0.65
14,Verbot für Fahrzeuge aller Art,0.99812847,3,0.7
15,Vorfahrt gewähren,0.6130147,3,0.75
16,Zulässige Höchstgeschwindigkeit (70),0.95476073,3,0.8
17,Zulässige Höchstgeschwindigkeit (60),0.86399066,3,0.85
18,Verbot der Einfahrt,0.99999428,3,0.9
19,Vorfahrt gewähren,0.99795806,3,0.95
20,Vorfahrt gewähren,0.99984539,3,1.0
21,Verbot für Fahrzeuge aller Art,0.77545089,3,1.05
22,Vorfahrt gewähren,0.99461901,3,1.1
23,Vorfahrt gewähren,0.99999201,3,1.15
24,Verbot der Einfahrt,0.8046661,3,1.2
25,Wildwechsel,0.7060203,3,1.25
26,Ausschließlich geradeaus,0.99999821,3,1.3
27,Stoppschild,0.35958633,3,1.35
28,Zulässige Höchstgeschwindigkeit (60),0.99979919,3,1.4
29,Kreisverkehr,0.88995594,3,1.45
30,Baustelle,0.98930895,3,1.5
31,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.99754804,3,1.55
32,Gefahrenstelle,0.16872884,3,1.6
33,Vorfahrt gewähren,0.9975642,3,1.65
34,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.90589231,3,1.7
35,Zulässige Höchstgeschwindigkeit (30),0.97627425,3,1.75
36,Zulässige Höchstgeschwindigkeit (120),0.85704654,3,1.8
37,Zulässige Höchstgeschwindigkeit (100),0.58648735,3,1.85
38,Verbot für Fahrzeuge aller Art,0.97522926,3,1.9
39,Vorfahrt gewähren,0.99999964,3,1.95
40,Verbot für Fahrzeuge aller Art,0.99994326,4,0.0
41,Verbot für Fahrzeuge aller Art,0.9995122,4,0.05
42,Verbot für Fahrzeuge aller Art,0.99998915,4,0.1
43,Verbot für Fahrzeuge aller Art,0.99935108,4,0.15
44,Verbot für Fahrzeuge aller Art,0.99999452,4,0.2
45,Verbot für Fahrzeuge aller Art,0.99993598,4,0.25
46,Verbot für Fahrzeuge aller Art,0.98304623,4,0.3
47,Verbot für Fahrzeuge aller Art,0.99999869,4,0.35
48,Verbot für Fahrzeuge aller Art,0.96418822,4,0.4
49,Verbot für Fahrzeuge aller Art,0.99992144,4,0.45
50,Ende aller Streckenverbote,0.65680653,4,0.5
51,Verbot für Fahrzeuge aller Art,0.9974432,4,0.55
52,Vorfahrt gewähren,0.96783543,4,0.6
53,Verbot für Fahrzeuge aller Art,0.99247688,4,0.65
54,Verbot für Fahrzeuge aller Art,0.85714304,4,0.7
55,Doppelkurve (zunächst links),0.2494486,4,0.75
56,Verbot für Fahrzeuge aller Art,0.9996295,4,0.8
57,Verbot für Fahrzeuge aller Art,0.99962711,4,0.85
58,Unebene Fahrbahn,0.99043524,4,0.9
59,Zulässige Höchstgeschwindigkeit (70),0.99999976,4,0.95
60,Zulässige Höchstgeschwindigkeit (120),0.98780358,4,1.0
61,Verbot für Fahrzeuge aller Art,0.84093815,4,1.05
62,Vorfahrt gewähren,0.60600388,4,1.1
63,Verbot für Fahrzeuge aller Art,0.85504556,4,1.15
64,Vorfahrt gewähren,0.99894315,4,1.2
65,Vorfahrt gewähren,0.98272562,4,1.25
66,Verbot für Fahrzeuge aller Art,0.72093344,4,1.3
67,Vorfahrt gewähren,0.99925381,4,1.35
68,Verbot der Einfahrt,1.0,4,1.4
69,Verbot der Einfahrt,1.0,4,1.45
70,Vorfahrt,0.58241838,4,1.5
71,Fahrradfahrer,0.62037945,4,1.55
72,Kreisverkehr,0.81589842,4,1.6
73,Gefahrenstelle,0.99756783,4,1.65
74,Zulässige Höchstgeschwindigkeit (70),0.99780589,4,1.7
75,Vorfahrt gewähren,0.99999726,4,1.75
76,Gefahrenstelle,0.93581551,4,1.8
77,Verbot für Fahrzeuge aller Art,0.99989414,4,1.85
78,"Verbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse von 3,5t",0.60022885,4,1.9
79,Zulässige Höchstgeschwindigkeit (80),0.49253911,4,1.95
80,Ende aller Streckenverbote,0.958269,5,0.0
81,Ende aller Streckenverbote,0.97565639,5,0.05
82,Ende aller Streckenverbote,0.82891399,5,0.1
83,Ende aller Streckenverbote,0.95021993,5,0.15
84,Ende aller Streckenverbote,0.912606,5,0.2
85,Vorfahrt,0.50551903,5,0.25
86,Ende aller Streckenverbote,0.91275191,5,0.3
87,Ende aller Streckenverbote,0.61207736,5,0.35
88,Verbot für Fahrzeuge aller Art,0.99904805,5,0.4
89,Vorfahrt,0.87855011,5,0.45
90,Ende aller Streckenverbote,0.98462176,5,0.5
91,Verbot für Fahrzeuge aller Art,0.62713081,5,0.55
92,Ende aller Streckenverbote,0.44133636,5,0.6
93,Verbot für Fahrzeuge aller Art,0.82727921,5,0.65
94,Vorfahrt,0.65546376,5,0.7
95,Vorfahrt gewähren,0.97137964,5,0.75
96,Verbot für Fahrzeuge aller Art,0.74667251,5,0.8
97,Ende aller Streckenverbote,0.30137897,5,0.85
98,Verbot für Fahrzeuge aller Art,0.99999762,5,0.9
99,Verbot für Fahrzeuge aller Art,0.9142884,5,0.95
100,Vorfahrt gewähren,0.99689996,5,1.0
101,Ende aller Streckenverbote,0.64767826,5,1.05
102,Verbot der Einfahrt,0.99995589,5,1.1
103,Vorfahrt gewähren,0.99918085,5,1.15
104,Verbot für Fahrzeuge aller Art,0.9072789,5,1.2
105,Vorfahrt gewähren,0.54522228,5,1.25
106,Verbot für Fahrzeuge aller Art,0.84402597,5,1.3
107,Vorfahrt gewähren,0.30904153,5,1.35
108,Vorfahrt,0.90459919,5,1.4
109,Rechts vorbei,0.8506102,5,1.45
110,Zulässige Höchstgeschwindigkeit (100),0.73155761,5,1.5
111,Zulässige Höchstgeschwindigkeit (50),0.49160725,5,1.55
112,Baustelle,0.72109133,5,1.6
113,Zulässige Höchstgeschwindigkeit (70),0.98397624,5,1.65
114,Überholverbot für Kraftfahrzeuge aller Art,0.65563691,5,1.7
115,Vorfahrt,0.55330908,5,1.75
116,Zulässige Höchstgeschwindigkeit (70),0.93841636,5,1.8
